Gene_Name	Interactions
APEX1	"['PCNA', 'POLD3', 'POLD4', 'RPA1', 'FEN1', 'POLD2', 'RPA2', 'RPA3', 'POLD1', 'LIG1', 'POLB', 'MBD4', 'MPG', 'MUTYH', 'NTHL1', 'OGG1', 'SMUG1', 'TDG', 'UNG']"
APH1A	"['NCSTN', 'PSENEN', 'PSEN2', 'PSEN1', 'ERBB4', 'APP', 'NGF', 'NGFR', 'TRAF6', 'ITGB3BP']"
APH1B	"['NCSTN', 'PSENEN', 'PSEN2', 'PSEN1', 'ERBB4', 'APP', 'NGFR', 'NGF', 'ITGB3BP', 'TRAF6']"
APIP	"['CASP9', 'CYCS', 'APAF1']"
APLNR	['APLN']
APOA1	"['APOA1', 'ABCA1', 'ABCA7', 'AMN', 'CUBN']"
APOA4	['APOA4']
APOBEC1	"['A1CF', 'APOBEC1']"
APOBEC3G	"['ELOC', 'RBX1', 'CUL5', 'ELOB', 'P69723', 'APOBEC3G']"
APOBR	"['APOBR', 'APOC4', 'APOC1']"
APOC1	"['APOC4', 'VLDLR']"
APOC2	"['APOC3', 'APOE']"
APOC4	['VLDLR']
APOD	['APOD']
APOE	"['LDLR', 'APOC3']"
APP	"['APP', 'SUGT1', 'HSP90AB1', 'AGRN', 'BAG6', 'GET4', 'UBL4A', 'ASNA1', 'NLRP3', 'PYCARD', 'CASP1']"
APPL1	"['DCC', 'CASP9']"
APRT	['APRT']
AQP1	['AQP1']
AQP10	['AQP10']
AQP11	['AQP11']
AQP12A	['AQP12A']
AQP2	['AQP2']
AQP3	['AQP3']
AQP4	['AQP4']
AQP5	['AQP5']
AQP6	['AQP6']
AQP7	['AQP7']
AQP8	['AQP8']
AQP9	['AQP9']
AR	"['USP12', 'WDR20', 'WDR48', 'USP26', 'H3F3B', 'HIST2H4A', 'HIST1H3F', 'HIST2H3D', 'RUNX2', 'SUMO1', 'UBE2I', 'NCOA2']"
ARAF	"['BRAF', 'NRAS', 'HRAS', 'KRAS', 'YWHAB']"
ARAP1	['PTK6']
ARC	"['ARC', 'DNM2', 'SH3GL3']"
ARCN1	"['RAB1B', 'USO1', 'GBF1', 'ARF4', 'COPE', 'COPA', 'COPB2', 'COPZ1', 'COPG1', 'COPB1', 'COPG2', 'COPZ2']"
AREG	['CNIH1']
ARF1	"['PI4KB', 'CYTH3', 'CYTH2', 'CYTH1', 'CYTH4', 'TRIP11', 'P04601']"
ARF3	['PI4KB']
ARF4	"['PKD1', 'RHO', 'RAB11A', 'RAB11FIP3', 'GBF1', 'RAB1B', 'COPG2', 'COPZ1', 'COPE', 'COPA', 'COPG1', 'COPB1', 'COPZ2', 'COPB2', 'ARCN1', 'USO1']"
ARF6	"['ARFGAP1', 'GGA3', 'TBC1D10A']"
ARFIP2	['ARL1']
ARFRP1	['ARL1']
ARG1	['ARG1']
ARG2	['ARG2']
ARHGAP10	['PAK2']
ARHGAP35	"['PTK6', 'RHOA']"
ARHGAP39	['RAC1']
ARHGDIA	"['NGFR', 'NGF', 'OMG', 'MAG', 'RTN4R', 'RTN4', 'LINGO1']"
ARHGEF1	"['GNA13', 'RHOA']"
ARHGEF11	"['RHOA', 'RHOB', 'RHOC']"
ARHGEF12	"['GNA13', 'GNA12', 'RHOC', 'RHOB', 'RHOA']"
ARHGEF28	"['PTK2', 'EFNB3', 'EFNB1', 'EFNB2', 'RHOA']"
ARHGEF6	"['PAK1', 'GNG2', 'GNB1', 'CDC42', 'PARVB']"
ARHGEF7	"['CBL', 'GRB2', 'ARHGEF7', 'EGFR', 'RAC1', 'PAK1', 'PAK3', 'GIT1']"
ARHGEF9	['GABRA2']
ARID4A	"['SAP30L', 'BRMS1']"
ARID5B	['PHF2']
ARIH1	"['ISG15', 'UBE2L6', 'EIF4E2', 'EIF4A3', 'EIF4G3', 'EIF4E', 'EIF4G2', 'EIF4A2', 'EIF4E3', 'EIF4G1', 'EIF4A1', 'FLNB']"
ARL13B	"['PARK7', 'HDAC6', 'PLIN3', 'RNASE1', 'VIM', 'PLIN2', 'ARL13B', 'HBB', 'LAMP2', 'PCNT', 'CETN1', 'HSPA8', 'GFAP', 'UBE2V1', 'UBE2N', 'PRKN']"
ARL2	"['ARL2BP', 'CALM3', 'PDE6D', 'KRAS']"
ARL2BP	['ARL2']
ARL3	"['UNC119B', 'CYS1', 'NPHP3']"
ARNT	"['AHRR', 'HIF3A', 'HIF1A', 'EPAS1']"
ARNT2	['AHRR']
ARNTL	"['NPAS2', 'CLOCK', 'CRY2', 'CRY1']"
ARNTL2	['CLOCK']
ARPP19	['PPP2R2D']
ARRB1	"['MAPK3', 'MAPK1', 'KIF3A', 'ADRB2']"
ARRB2	"['KIF3A', 'WNT5A', 'FZD4', 'AP2B1', 'AP2A2', 'AP2A1', 'CLTC', 'AP2S1', 'AP2M1', 'ADRB2', 'DVL2']"
ARSA	['ARSA']
ART1	['DEFA1B']
ARTN	"['ARTN', 'GAB1', 'GAB2', 'PTPN11', 'PIK3CB', 'PIK3CA', 'PIK3R1', 'PIK3CD', 'FRS2', 'GRB2', 'SOS1', 'RAP1GAP', 'SRC', 'NRTN', 'GFRA1', 'GFRA2', 'GDNF', 'GFRA3', 'RET']"
ASAH1	['ASAH1']
ASAP1	"['ASAP1', 'ARF4', 'RHO', 'PKD1', 'RAB11A', 'RAB11FIP3', 'CNGB1', 'CNGA4', 'CNGA2', 'RAB3IP', 'RAB8A']"
ASCC1	"['ALKBH3', 'ASCC2', 'ASCC3']"
ASCC2	['ALKBH3']
ASCC3	"['ALKBH3', 'ASCC2']"
ASF1A	"['HIRA', 'CABIN1']"
ASGR1	['ASGR2']
ASIC1	['ASIC1']
ASIC2	['ASIC2']
ASIC3	['ASIC3']
ASIC5	['ASIC5']
ASL	['ASL']
ASNA1	"['ASNA1', 'UBL4A', 'BAG6', 'GET4', 'SGTA']"
ASNS	['ASNS']
ASPA	['ASPA']
ASPSCR1	['SLC2A4']
ASRGL1	['ASRGL1']
ASS1	['ASS1']
ASXL1	"['FOXK1', 'HCFC1', 'FOXK2', 'OGT', 'BAP1']"
ASXL2	"['FOXK2', 'FOXK1', 'OGT', 'HCFC1', 'BAP1']"
ATF2	"['ESR1', 'ATF2', 'HIST2H2BF', 'HIST3H2BB', 'HIST2H4A', 'HIST2H2BE']"
ATF4	"['CEBPB', 'ATF3', 'ATF4', 'ATF2', 'CEBPG', 'DDIT3']"
ATF7IP	['SETDB1']
ATG10	"['ATG5', 'ATG12', 'ATG7']"
