ACTR3C,10,10,10,10,0,10,10,0,10
ACTR5,10,10,10,10,0,10,10,0,10
ACTR6,24,24,24,24,0,24,24,0,24
ACTR8,11,11,11,11,0,11,11,0,11
ACTRT1,9,9,9,9,0,9,9,0,9
ACTRT2,10,10,10,10,0,10,10,0,10
ACTRT3,11,11,11,11,0,11,11,0,11
ACVR1,28,28,28,28,0,28,28,0,28
ACVR1B,26,26,26,26,0,26,26,0,26
ACVR1C,17,17,17,17,0,17,17,0,17
ACVR2A,13,13,13,13,0,13,13,0,13
ACVR2B,21,21,21,21,0,21,21,0,21
ACVR2B-AS1,9,9,9,9,0,9,9,0,9
ACVRL1,19,19,19,19,0,19,19,0,19
ACY1,20,20,20,20,0,20,20,0,20
ACY3,14,14,14,14,0,14,14,0,14
ACY3.1,1,1,1,1,0,1,1,0,1
ACYP1,22,22,22,22,0,22,22,0,22
ACYP2,13,13,13,13,0,13,13,0,13
ADA,34,34,34,34,0,34,34,0,34
ADA2,10,10,10,10,0,10,10,0,10
ADA2A,9,9,9,9,0,9,9,0,9
ADAD1,11,11,11,11,0,11,11,0,11
ADAD2,9,9,9,9,0,9,9,0,9
ADAL,15,15,15,15,0,15,15,0,15
ADAM1,10,10,10,10,0,10,10,0,10
ADAM10,7,7,7,7,0,7,7,0,7
ADAM11,22,22,22,22,0,22,22,0,22
ADAM12,15,15,15,15,0,15,15,0,15
ADAM15,16,16,16,16,0,16,16,0,16
ADAM17,24,24,24,24,0,24,24,0,24
ADAM17A,9,9,9,9,0,9,9,0,9
ADAM18,9,9,9,9,0,9,9,0,9
ADAM19,25,25,25,25,0,25,25,0,25
ADAM1A,25,25,25,25,0,25,25,0,25
ADAM2,11,11,11,11,0,11,11,0,11
ADAM21,10,10,10,10,0,10,10,0,10
ADAM21P1,9,9,9,9,0,9,9,0,9
ADAM22,18,18,18,18,0,18,18,0,18
ADAM23,19,19,19,19,0,19,19,0,19
ADAM24,9,9,9,9,0,9,9,0,9
ADAM25,10,10,10,10,0,10,10,0,10
ADAM26A,4,4,4,4,0,4,4,0,4
ADAM28,18,18,18,18,0,18,18,0,18
ADAM29,10,10,10,10,0,10,10,0,10
ADAM3,1,1,1,1,0,1,1,0,1
ADAM30,1,1,1,1,0,1,1,0,1
ADAM32,2,2,2,2,0,2,2,0,2
ADAM33,14,14,14,14,0,14,14,0,14
ADAM34,1,1,1,1,0,1,1,0,1
ADAM4,3,3,3,3,0,3,3,0,3
ADAM6A,9,9,9,9,0,9,9,0,9
ADAM6B,6,6,6,6,0,6,6,0,6
ADAM7,10,10,10,10,0,10,10,0,10
ADAM8,26,26,26,26,0,26,26,0,26
