,gene,ndiseases
271,LIM2,1
272,MIP,1
273,MDH2,1
274,MAK,1
275,MPI,1
276,MGP,1
277,MC4R,1
278,MN1,1
279,LAMA2,1
280,MTAP,1
281,MAP1B,1
282,NDUFS1,1
283,MUC1,1
284,SLC20A2,1
285,MCC,1
286,MAG,1
287,KMT2A,1
288,MYOD1,1
289,MYF5,1
290,MYH3,1
291,MYH2,1
292,MYH8,1
293,MYH11,1
294,MYO5A,1
295,MYL1,1
296,MYL2,1
297,MYL3,1
298,NDUFV1,1
299,IL12B,1
300,NEB,1
301,NGF,1
302,NEFL,1
303,TAC3,1
304,TACR3,1
305,NTF4,1
306,NFKBIA,1
307,NUMA1,1
308,CHMP1A,1
309,NFKB1,1
310,NFKB2,1
311,MATR3,1
312,NPM1,1
313,PNP,1
314,LEP,1
315,SKI,1
316,MYCN,1
317,FOXG1,1
318,FGF3,1
319,WNT5A,1
320,FGF5,1
321,MECOM,1
322,GLI1,1
323,GLI2,1
324,RHOA,1
325,ODC1,1
326,PAX1,1
327,PAX4,1
328,PAX8,1
329,PAX9,1
330,PRRX1,1
331,PTH,1
332,PTHLH,1
333,DSG3,1
334,TAP1,1
335,TAP2,1
336,NUP85,1
337,PLIN1,1
338,PMP2,1
339,ACP5,1
340,ALPL,1
341,PIK3CA,1
342,PGM1,1
343,PGM3,1
344,GPI,1
345,PLN,1
346,PHKG2,1
347,PSPH,1
348,PHKB,1
349,SERPINF1,1
350,POU1F1,1
351,PLG,1
352,SERPINE1,1
353,GP9,1
354,PKD2,1
355,KCNC1,1
356,KCNA1,1
357,KCNA2,1
358,KCNC3,1
359,KCNA4,1
360,KCNA5,1
361,PBX1,1
362,PFN1,1
363,PRDX1,1
364,P4HB,1
365,POMC,1
366,PSMB10,1
367,EIF2AK2,1
368,PROS1,1
369,PRKACB,1
370,PRKG1,1
371,PPP2CA,1
372,TYK2,1
373,EPHA2,1
374,MAPK1,1
375,PRKCA,1
376,PRKCD,1
377,PRKCG,1
